EDAD,GENERO,CARRERA,EDAD_ELECCION_CARRERA,ID_CARRERA,CARRERA_LO_QREALM_QUERIAS,APASIONA_TUCARRERA,OPORT_LABORALES,FERIAS_EXPO,REC_FINANCIEROS,PASE_AUTOMATICO,PROM_CALIF_MIN,DIST_ALA_UNIV,PRESTIG_TITULO,SALARIO_PROM,TIPOS_ESPACIOS,HABILIDAD1,HABILIDAD2,HABILIDAD3,HABILIDAD4,HABILIDAD5,CALIF_HABIL1,CALIF_HABIL2,CALIF_HABIL3,CALIF_HABIL4,CALIF_HABIL5,ELECC_CARRERA,ESPACIOS_ID,HABILIDAD1_ID,HABILIDAD2_ID,HABILIDAD3_ID,HABILIDAD4_ID,HABILIDAD5_ID,MATERIA1,MATERIA2,MATERIA3,MATERIA4,MATERIA5,CALIFM1,CALIFM2,CALIFM3,CALIFM4,CALIFM5,INFLU_MEDIATICA,CARR_PROF_PADRES,MATERIA1_ID,MATERIA2_ID,MATERIA3_ID,MATERIA4_ID,MATERIA5_ID
22,HOMBRE,INGENIERIA EN COMPUTACION,16,0,5,5,4,3,2,1,1,1,2,2,CAMPO,RAZONAMIENTO,DEDICACION,PACIENCIA,PRACTICAR,TRABAJO EN EQUIPO,8.0,8.0,9.0,8.0,7.0,PERSONAL,1,9,9,16,45,3,CALCULO,CIBERNETICA,MATEMATICAS,FISICA,COMPUTACION,0.0,0.0,0.0,0.0,0.0,WEB / REDES SOC,DIFERENTE,2,9,8,3,2
22,MUJER,INGENIERIA GEOFISICA,17,5,4,5,5,1,2,3,1,1,4,4,EXTRANJERO,PROGRAMAR,GEOLOGIA,MANEJO DE EQUIPO,INTERPRETACION,NOINFO,6.0,8.0,8.0,7.0,0.0,PERSONAL,2,35,56,67,34,1,MATEMATICAS, CALCULO DIFERENCIAL,CALCULO INTEGRAL,NOINFO,NOINFO,9.0,10.0,9.0,0.0,0.0,WEB / REDES SOC,DIFERENTE,1,11,65,2,1
22,HOMBRE,INGENIERIA EN TELECOMUNICACIONES,17,9,4,4,5,5,4,5,5,5,4,3,CAMPO,DISENO,RESOLUCION DE PROBLEMAS,HABILIDADES COMUNICATIVAS,INVESTIGACION,HABILIDADES INFORMATICAS,8.0,9.0,10.0,8.0,9.0,PERSONAL,1,31,23,35,42,59,CALCULO,CIBERNETICA,COMUNICACION,FISICA, ECONOMIA,9.0,9.0,10.0,9.0,8.0,WEB / REDES SOC,S/CARRERA,2,9,44,3,22
22,HOMBRE,INGENIERIA EN COMPUTACION,18,0,4,4,5,1,5,5,4,1,4,5,OTROS,INGENIO,PROGRAMACION,MATEMATICAS,TRABAJO EN EQUIPO,EFICACIA,8.0,6.0,9.0,8.0,9.0,PERSONAL,3,13,15,20,2,91,MATEMATICAS,QUIMICA,INFORMATICA,PSICOLOGIA,DERECHO,10.0,9.0,9.0,8.0,6.0,NINGUNO,DIFERENTE,1,8,12,20,9
21,HOMBRE,INGENIERIA EN MINAS Y METALURGIA ,17,17,2,3,5,1,4,5,5,2,4,5,EXTRANJERO,RESOLVER PROBLEMAS,ANALISIS,TRABAJO EN EQUIPO,IDIOMAS,CONOCIMIENTOS DE NORMAS,9.0,9.0,5.0,7.0,6.0,OTROS ,2,15,7,8,60,45,CALCULO, ADMINISTRACION, ESTADISTICA,COMUNICACION,MATEMATICAS,8.0,10.0,9.0,10.0,10.0,NINGUNO,SIMILAR,2,18,10,21,5
23,MUJER,INGENIERIA GEOLOGICA ,17,16,4,4,5,2,2,2,2,2,1,2,EXTRANJERO,TRABAJO EN EQUIPO,IDIOMAS,CONOCIMIENTO DEL CONTEXTO AMBIENTAL,GEOHISTORIA,LOGICA,4.0,4.0,5.0,5.0,5.0,PERSONAL ,2,6,94,94,48,23,QUIMICA,MATEMATICAS,FISICA,TERMODINAMICA ,PROBABILIDAD ,8.0,8.0,8.0,0.0,0.0,NINGUNO,DIFERENTE,9,1,0,49,37
18,MUJER,INGENIERIA CIVIL ,15,3,5,3,4,4,5,5,1,1,2,3,EXTRANJERO,CREATIVIDAD,INGENIO,RAPIDEZ,DESEMPENO,EXCELENCIA,5.0,5.0,5.0,5.0,2.0,PERSONAL ,2,2,8,28,47,66,QUIMICA,FISICA,CALCULO,NOINFO,NOINFO,10.0,10.0,6.0,0.0,0.0,TV/MEDIOS IMPRESOS,DIFERENTE,9,2,7,2,1
18,MUJER,INGENIERIA CIVIL ,18,3,4,4,5,5,5,5,5,2,4,4,EXTRANJERO,IMAGINACION,INNOVACION,CREATIVIDAD,DESEMPENO,NOINFO,8.0,8.0,9.0,8.0,0.0,PERSONAL ,2,22,21,4,47,1,CALCULO,GEOMETRIA ANALITICA,FISICA,NOINFO,NOINFO,8.0,9.0,9.0,0.0,0.0,TV/MEDIOS IMPRESOS,DIFERENTE,2,17,0,2,1
22,HOMBRE,INGENIERIA CIVIL ,16,3,5,4,5,5,4,5,2,3,5,5,EXTRANJERO,IMAGINACION,CAPACIDAD DE DECISCION,ENSENAR,NOINFO,NOINFO,7.0,8.0,8.0,8.0,0.0,PERSONAL ,2,22,35,90,0,1,MATEMATICAS,FISICA,QUIMICA,DIBUJO,NOINFO,7.0,10.0,8.0,9.0,0.0,NINGUNO,S/CARRERA,1,2,2,11,1
20,HOMBRE,INGENIERIA EN COMPUTACION,18,0,5,5,4,3,4,5,5,1,1,1,CAMPO,LOGICA,RAZONAMIENTO,MATEMATICAS,CONDICION FISICA,DISCIPLINA,8.0,8.0,7.0,7.0,10.0,PERSONAL ,1,26,12,20,40,10,CALCULO,PROGRAMACION, ESTADISTICA,FISICA,ALGEBRA,9.0,9.0,9.0,9.0,9.0,NINGUNO,SIMILAR,2,24,10,3,16
24,HOMBRE,INGENIERIA INDUSTRIAL,18,1,2,5,4,3,2,4,4,4,4,5,CAMPO,RAZONAMIENTO,TOMA DE DECISIONES,VENTAS,TRABAJO BAJO PRESION,MATEMATICAS,8.0,9.0,9.0,8.0,6.0,PERSONAL ,1,9,20,68,23,21,MATEMATICAS,MARKETING ,TOMA DE DECISIONES ,MANOFACTURA ,IDIOMA ,6.0,7.0,8.0,8.0,9.0,WEB / REDES SOC,DIFERENTE,1,31,62,43,54
20,HOMBRE,INGENIERIA EN COMPUTACION,17,0,3,4,1,1,3,5,4,2,3,1,OTROS,DISCIPLINA,CREATIVIDAD,TRABAJO EN EQUIPO,INTELIGENCIA,CONOCIMIENTO,7.0,8.0,6.0,9.0,8.0,PERSONAL ,3,12,2,8,17,12,CALCULO,FISICA, ALGEBRA,CIBERNETICA, REDACCION,8.0,9.0,8.0,10.0,7.0,TV/MEDIOS IMPRESOS,S/CARRERA,2,2,9,31,17
20,HOMBRE,INGENIERIA EN COMPUTACION,17,0,4,5,5,4,5,1,1,1,5,5,OTROS,RESOLVER PROBLEMAS, CONOCIMIENTOS DE DIVERSAS AREAS DE LA INGENIERIA,PROGRAMAR,TRABAJAR EN EQUIPO,COMUNICACION,8.0,7.0,9.0,8.0,7.0,PERSONAL ,3,15,58,64,99,27,PROGRAMACION DE PAGINAS WEB ,ELEARNING,POO, CALCULO,INGLES,10.0,9.0,10.0,10.0,9.0,TV/MEDIOS IMPRESOS,DIFERENTE,47,56,42,1,0
21,HOMBRE,INGENIERIA EN COMPUTACION,18,0,5,5,5,5,2,1,1,1,1,1,CAMPO,PROGRAMACION,OBTENER INFORMACION,INGLES,MEMORIA,LEER,8.0,8.0,5.0,7.0,8.0,PERSONAL ,1,19,81,32,30,93,POO,EDA LL,FUNDAMENTOS DE PROGRAMACION,GYPC,L F Y A ,8.0,8.0,9.0,7.0,8.0,WEB / REDES SOC,DIFERENTE,34,37,29,40,10
