EDAD,GENERO,CARRERA,EDAD_ELECCION_CARRERA,CARRERA_LO_QREALM_QUERIAS,APASIONA_TUCARRERA,OPORT_LABORALES,FERIAS_EXPO,REC_FINANCIEROS,PASE_AUTOMATICO,PROM_CALIF_MIN,DIST_ALA_UNIV,PRESTIG_TITULO,SALARIO_PROM,PLAN_ESTUDIOS_DETERMINANTE,TIPOS_ESPACIOS,OTROS_TIPO_ESPAC,HABILIDAD1,HABILIDAD2,HABILIDAD3,HABILIDAD4,HABILIDAD5,CALIF_HABIL1,CALIF_HABIL2,CALIF_HABIL3,CALIF_HABIL4,CALIF_HABIL5,ELECC_CARRERA,OTROS_ELEC_CARRERA,MATERIA1,MATERIA2,MATERIA3,MATERIA4,MATERIA5,CALIFM1,CALIFM2,CALIFM3,CALIFM4,CALIFM5,INFLU_MEDIATICA,CARR_PROF_PADRES,,,
19,Hombre,Ingenieria Petrolera,17,5,5,4,4,5,1,1,5,5,4,2,Oficinas,,Idioma,Extrovertido,Sociable,Radical,,9,9,9,9,9,Personal,,quimica,calculo,fisica,,,8,8,7,,,Ninguno,s/carrera,,,
20,Hombre,Ingenieria Civil,18,5,5,4,5,2,5,3,1,3,4,3,extranjero,,Imaginacion,Liderazgo,Pensamiento matematico,etica profesional,redactar,8,8,9,9,9,Personal,,fisica,Matematicas,Quimica,,,6,8,7,,,Ninguno,Misma,,,
19,Hombre,Ingenieria Petrolera,17,5,5,4,1,2,5,4,4,4,2,2,Campo,,Liderazgo,Objetividad,Inteligencia,Esfuerzo,Idioma,7,10,10,9,7,Personal,,calculo,ingles,Quimica,fisica,psicologia,7,7,9,6,7,TV/Medios impresos,Diferente,,,
19,Hombre,Ingenieria Civil,17,5,5,5,5,4,5,5,1,1,1,2,Oficinas,,Creatividad,Resolver problemas ,,,,7,7,,,,Personal,,Matematicas,dibujo,fisica,,,8,8,9,,,Web / Redes Soc,s/carrera,,,
19,Hombre,Ingenieria Civil,15,2,3,3,2,4,4,4,5,4,3,4,Campo,,Analisis,Criterio,Analisis matematico,Liderazgo,Creatividad,7,8,6,7,8,Personal,,Algebra,calculo diferencial,calculo integral,probabilidad,ingles,8,9,9,7,8,Web / Redes Soc,Diferente,,,
20,Mujer,Ingenieria civil,16,5,5,3,2,5,4,4,1,1,1,4,Campo,,Liderazgo,Creatividad,,,,9,8,,,,Personal,,Fisica,calculo,Quimica,,,9,10,8,,,Web / Redes Soc,s/carrera,,,
20,Mujer,Ingenieria Civil,17,4,4,5,5,5,4,5,3,1,1,3,Campo,,Innovacion,Liderazgo,Creatividad,Iniciativa,,6,8,8,9,,Personal,,Fisica,Matematicas,dise§o,Quimica,,8,9,10,10,,Ninguno,Diferente,,,
19,Hombre,Ingenieria Civil,17,5,5,5,5,5,4,3,3,3,4,5,Campo,,Habilidad Matematica,Liderazgo,Creatividad,capacidad de analisis,sociales,8,9,8,8,8,Personal,,Fisica,Matematicas,Quimica,dibujo,fisico-quimica,9,9,8,10,9,Ninguno,Diferente,,,
27,Hombre,Ingenier°a Civil,18,4,5,4,1,2,1,1,2,3,2,4,Campo,,Sentido Com£n,Responsabilidad,Comunicaci¢n,Fisico-Matem†ticas,Trabajo en equipo,9,8,9,9,8,Personal,,F°sica,Matem†ticas,Qu°mica,êtica Profesioanal,Orientaci¢n Educativa,9,9,8,10,10,Ninguno,Similar,,,
55,Hombre,Arquitectura,16,5,5,4,4,4,1,1,5,5,1,2,Campo,,An†lisis,Toma de decisiones,Programaci¢n de actividades,Control,Eficiencia,9,9,8,9,9,Personal,,F°sica,Matem†ticas,Dibujo,Biolog°a,êtica,8,8,10,8,9,Ninguno,S/carrera,,,
40,Hombre,Ingenier°a en Computaci¢n,17,4,5,5,1,5,4,4,3,1,2,2,Oficinas,,L¢gica,Creatividad,Capacidad de Abstracci¢n,,,8,9,8,,,Personal,,C†lculo,F°sica,EstÇtica,Administraci¢n,,9,8,10,7,,Ninguno,Diferente,,,
29,Mujer,Inform†tica,19,4,3,3,3,3,4,4,1,3,3,2,Oficinas,,Comunicaci¢n,Objetividad,pragm†tica,Creatividad,Meticulosa,6,7,7,8,8,Personal,,MatÇmaticas,,,,,8,,,,,Ninguno,S/carrera,,,
20,Mujer,Administraci¢n,18,4,4,5,5,5,1,5,5,5,4,5,Oficinas,,Liderazgo,An†lisis de riesgos,Toma de decisiones,Comunicaci¢n,Habilidad Matem†tica,9,9,8,9,6,Personal,,Administraci¢n,Derecho,Estad°stica,Historia Universal,,10,10,10,10,,Ninguno,Similar,,,
35,Hombre,Ingenier°a de Software,30,5,5,4,1,3,1,4,2,3,3,4,Oficinas,,Desarrollo,Creatividad,Dise§o,An†lisis,,8,8,8,8,,Personal,,Computaci¢n,Matem†ticas,,,,10,9,,,,Web / Redes Soc,Diferente,,,
25,Hombre,Ingenier°a en Computaci¢n,17,5,4,5,1,5,5,5,5,4,4,5,Oficinas,,An†lisis,Actitud,Emprendimiento,Liderazgo,Paciencia,9,10,8,8,9,Personal,,CibernÇtica y Computaci¢n,F°sica,C†lculo,Qu°mica,,10,10,10,10,,Web / Redes Soc,S/carrera,,,
22,Hombre,Administraci¢n,18,5,5,4,4,4,1,1,1,1,1,4,Oficinas,,Dinamismo,An†lisis,Compa§erismo,Influyente,Facilidad de palabra,9,10,9,8,8,Personal,,Estad°stica,Contabilidad y Administraci¢n,Geoeconom°a,Int. al estudio de CIencias Sociales,,10,10,10,9,,Ninguno,Diferente,,,
21,Hombre,Administraci¢n,17,5,5,4,5,4,4,4,2,3,1,4,Oficinas,,Liderazgo,Negociaci¢n,Comunicaci¢n,Toma de decisiones,Estrategia,9,8,10,9,10,Personal,,Administraci¢n,Contabilidad ,Matem†ticas,Derecho,Estad°stica,10,8,9,10,10,Web / Redes Soc,Diferente,,,
33,Hombre,Dise§o y Comunicaci¢n Visual,16,2,1,2,1,2,5,5,4,1,2,2,Oficinas,,Creatividad,Improvisaci¢n,Constancia,Perseverancia,,6,5,5,4,,Personal,,EstÇtica,Dibujo,,,,8,9,,,,Ninguno,Diferente,,,
21,Mujer,Ingenieria Industrial,18,5,5,4,5,2,1,2,1,1,2,4,Oficinas,,analisis,liderazgo,sintesis,emprendedro,organizado,9,8,10,9,10,Personal,,Matematicas,quimica,fisica,probabilidad,literatura,9,10,8,9,10,Ninguno,Diferente,,,
22,Hombre,Ingenieria Industrial,19,3,1,5,5,5,3,3,1,4,5,3,Oficinas,,organizaci¢n,inovacion,planeacion,control,produccion,8,9,8,9,9,Personal,,fisica,calculo,ingles,Quimica,estadistica,9,8,10,8,8,Ninguno,Diferente,,,
