EDAD,GENERO,CARRERA,EDAD_ELECCION_CARRERA,ID_CARRERA,CARRERA_LO_QREALM_QUERIAS,APASIONA_TUCARRERA,OPORT_LABORALES,FERIAS_EXPO,REC_FINANCIEROS,PASE_AUTOMATICO,PROM_CALIF_MIN,DIST_ALA_UNIV,PRESTIG_TITULO,SALARIO_PROM,TIPOS_ESPACIOS,HABILIDAD1,HABILIDAD2,HABILIDAD3,HABILIDAD4,HABILIDAD5,CALIF_HABIL1,CALIF_HABIL2,CALIF_HABIL3,CALIF_HABIL4,CALIF_HABIL5,ELECC_CARRERA,ESPACIOS_ID,HABILIDAD1_ID,HABILIDAD2_ID,HABILIDAD3_ID,HABILIDAD4_ID,HABILIDAD5_ID
27,HOMBRE,INGENIERIA MECANICA,15,7,5,5,5,1,1,1,1,1,4,1,EXTRANJERO,ANALIZAR,ACTITUD,ESTRUCTURAR,INVESTIGAR,APLICAR,9.0,9.0,9.0,8.0,10.0,PERSONAL,2,88,44,78,44,85
22,HOMBRE,INGENIERIA GEOFISICA,18,6,5,4,5,1,5,5,1,1,1,4,EXTRANJERO,MATEMATICAS,PROGRAMACION,COMPRENSION,CONDICION FISICA,EXPRESION,8.0,6.0,8.0,10.0,9.0,PERSONAL,2,3,10,30,24,39
21,MUJER,INGENIERIA EN COMPUTACION,16,0,5,5,4,2,1,1,1,1,2,2,CAMPO,PERSEVERANCIA,OBSERVADOR,LOGICA,TENACIDAD,PACIENCIA,10.0,8.0,9.0,9.0,10.0,PERSONAL,1,22,47,12,37,18
21,HOMBRE,INGENIERIA EN COMPUTACION,18,0,5,4,2,5,5,5,5,5,1,3,CAMPO,DISCIPLINA,PROFESIONALISMO,PROACTIVO,CURIOSO,NOINFO,5.0,6.0,9.0,9.0,0.0,PERSONAL,1,11,85,101,54,0
21,MUJER,INGENIERIA EN COMPUTACION,17,0,4,5,4,5,1,1,1,1,1,1,CAMPO,RESOLUCION DE PROBLEMAS,LOGICA,PACIENCIA,DISCIPLINA,PERSEVERANCIA,9.0,8.0,2.0,7.0,8.0,PERSONAL,1,24,0,16,31,74
19,HOMBRE,INGENIERIA EN COMPUTACION,17,0,5,5,4,4,5,1,1,1,1,3,CAMPO,SOCIABILIDAD,OBSERVACION,ANALISIS,PLANEACION,NOINFO,7.0,9.0,8.0,7.0,0.0,PERSONAL,1,50,24,3,35,0
19,HOMBRE,INGENIERIA EN COMPUTACION,18,0,3,5,3,2,5,5,3,3,4,3,CAMPO,DISCIPLINA,PASION,RESPONSABILIDAD,ANALISIS,NOINFO,8.0,9.0,10.0,10.0,0.0,PERSONAL,1,11,63,21,28,0
21,HOMBRE,INGENIERIA EN COMPUTACION,18,0,2,4,5,5,4,4,4,1,4,3,CAMPO,CREATIVIDAD,PENSAMIENTO LOGICO,DISENO,HABILIDAD MATEMATICA,TRABAJO EN EQUIPO,7.0,8.0,8.0,8.0,9.0,PERSONAL,1,4,46,20,12,1
26,HOMBRE,INGENIERIA EN COMPUTACION,21,0,4,5,4,1,2,3,3,2,1,1,OTROS,ABSTRACCION,LOGICA,HABILIDAD MATEMATICA,RESOLUCION DE PROBLEMAS,TRABAJO EN EQUIPO,9.0,8.0,8.0,8.0,5.0,PERSONAL,3,20,0,52,4,1
22,HOMBRE,INGENIERIA EN COMPUTACION,17,0,4,5,4,1,2,1,1,1,5,5,OTROS,PENSAMIENTO LOGICO,PACIENCIA,HABILIDAD MATEMATICA,RESOLUCION DE PROBLEMAS,ABSTRACCION,8.0,10.0,8.0,8.0,7.0,PERSONAL,3,36,8,52,4,21
18,HOMBRE,INGENIERIA EN COMPUTACION,18,0,5,5,4,4,1,5,5,1,1,2,OFICINAS,PROGRAMAR,LOGICA,ANALISIS E INVESTIGACION,TRABAJO EN EQUIPO,MATEMATICAS,9.0,10.0,8.0,8.0,9.0,PERSONAL,0,37,0,43,6,43
22,HOMBRE,INGENIERIA GEOFISICA,18,6,4,5,5,3,4,4,1,1,3,5,EXTRANJERO,MATEMATICA,CAMPO,LOGICA,COMPUTACIONAL,INTERDICIPLINA,7.0,9.0,8.0,5.0,10.0,PERSONAL,2,7,69,12,76,45
22,HOMBRE,INGENIERIA GEOFISICA,17,6,4,5,2,1,1,4,5,1,4,4,OTROS,MATEMATICA,FISICA,ANALISIS,COMPUTO,INGLES,9.0,9.0,10.0,9.0,8.0,PERSONAL,3,7,21,3,77,14
20,HOMBRE,INGENIERIA GEOFISICA,17,6,5,4,5,1,4,5,5,5,5,5,EXTRANJERO,MATEMATICA,LINGUISTICA,FISICA,LOGICA,ESPACIAL,9.0,9.0,9.0,9.0,8.0,PERSONAL,2,7,68,91,7,87
